comuna.id,comuna.codigo,comuna.nombre,comuna.municipio_id,comuna.uuid
1,01,CABINDA,1,d82fc9b0-5e03-481c-bec7-a7caebb502f6
2,02,MALEMBO,1,c5b55a86-f21d-43a3-bd5b-8e38db39500d
3,03,TANDO ZINZE,1,a75c4376-526f-49c1-8076-cb07eeab69a7
4,01,CACONGO,2,3b1356b7-ded0-405a-834a-54d0f6489d92
5,02,DINGE,2,c21c8734-9806-4ba3-b017-d95201edc7b6
6,03,MASSABI,2,6720ef97-5827-4a5b-b544-9d520ee37145
7,01,BUCO-ZAU,3,05712082-6232-4bdb-b0e4-00f763e192ef
8,02,INHUCA(NHUCA),3,6575f562-53b1-479f-900a-92acd1c27700
9,03,NECUTO,3,10bb027f-0d1d-4d44-b4ef-795a5c425aa7
10,01,BELIZE,4,312ddf53-8609-4cbe-984a-1f74e88b2d00
11,02,LUALI,4,14e5b4c8-57ba-4a9d-83c9-47175ba38866
12,03,MICONGE,4,81074395-14d6-428e-8bfe-921de8dfd85a
13,01,M'BANZA KONGO,5,33c598c8-e8df-46c9-b5ca-e642e6bb765d
14,02,LUVO,5,3add9d7e-c9ed-4920-8749-1d857490d8b5
15,03,MADIMBA,5,227b909f-e9d8-482b-a039-877b5868e6e9
16,04,KIENDE,5,1b5591be-91c7-46c6-94bf-ec147a94171e
17,05,KALAMBATA,5,83e2e73b-7f67-458a-96e2-ff5367a6c603
18,06,KALUCA,5,769c4088-1e98-41fc-80d9-dce0256009c8
19,01,SOYO,6,3f6b6ba5-bcf2-43f0-b5ca-d72807b2ea67
20,02,PEDRA DE FEITIÇO,6,bdb86e4b-18c2-4f5f-8b2d-341119072ac3
21,03,SUMBA,6,f2566e13-ce68-4df4-acba-740b73ab3ac4
22,04,QUÉLO,6,21eaa45b-e009-4915-9190-c56637419d02
23,05,MANGUA GRANDE,6,f8934d19-3cb2-4a6b-b4e4-ec12cc5079fd
24,01,N'ZETO,7,3358daad-29f9-489f-b4ef-bc4e27ef9caf
25,02,KINDENGE(KINDENJE),7,c6e8e83c-6e0c-42d7-824c-bd7a299d0d68
26,03,MUSSERRA,7,54e79425-a6d1-4cbf-ac52-787bcf7e046f
27,04,QUINBALA NORTE,7,97f59152-8a7e-4ab5-a884-1edbb30e0f1e
28,01,TOMBOCO,8,6dbd434d-b091-41ef-b00e-a0c0eb87fef7
29,02,KINZAU,8,17256b17-9b77-4bfa-9c4a-8d1960ed30ad
30,03,KINSIMBA,8,8ef5d030-b6bb-48ce-8aa3-58b96dff37b6
31,01,NOQUI,9,050b08a4-a6e4-48c5-a853-7c49aa501d67
32,02,LUFICO,9,59e60b7e-39cc-44b1-be53-2970c58b14da
33,03,LULENDO (MPALA),9,01558509-290e-45cc-a6fe-a563b90e237e
34,01,KUIMBA,10,05fabbf2-2599-4fcb-9bcb-e6a87ae5c4a2
35,02,BUELA,10,2bb12ee4-db3e-4de5-b378-a198b2e4e312
36,03,KANDA(SERRA DA KANDA),10,6cb8ccb5-d33d-412b-a32a-f75856aecc8c
37,04,LUVAKA,10,2543f1ce-2ab3-437c-9989-be9b9c553e1c
38,01,UIGE,11,2242bebd-d286-43ba-9f30-d992f7835f49
39,01,AMBUÍLA,12,bf792382-9c6c-4796-b28d-1fe66689a47f
40,02,QUIPEDO,12,057ce01e-ac7a-405e-9edb-364bf5bc99ae
41,01,SONGO,13,ec4561f9-1451-4cf6-a94d-a8f495d0570d
42,02,KINVUENGA,13,5d0a4a77-5556-4593-a6ce-a70802d38c42
43,01,BEMBE,14,011c5ea0-63c3-45d5-ac40-271ae1e9d485
44,02,LUCUNGA,14,0d06000c-9eb5-465a-bdb9-ce5810667804
45,03,MABAIA,14,4a384fa2-2a69-48da-9176-6d483cdd28fc
46,01,NEGAGE,15,4d043b9d-938b-4857-a3c9-6e02b2ada185
47,02,DIMUCA,15,49ec26c2-c345-4b92-8b0b-c9af8511d88e
48,03,QUISSEQUE,15,a74919aa-c667-4172-878a-390f0ffe264a
49,01,BUNGO,16,acce318b-f498-4b21-9110-29294cc157da
