pais.id,pais.codigo,pais.nombre
1,900,AFRICA (TOTAL)
2,012,ARGELIA
3,024,ANGOLA
4,204,BENÍN
5,072,BOTSWANA
6,854,BURKINA FASO
7,108,BURUNDI
8,120,CAMERÚN
9,132,CABO VERDE
10,140,REPÚBLICA CENTROAFRICANA
11,148,CHAD
12,174,CAMERAS
13,178,CONGO
14,384,COSTA DE MARFIL
15,892,REPÚBLICA DEMOCRÁTICA DEL CONGO
16,262,DJIBOUTI
17,220,EGIPTO
18,226,GUINEA  ECUATORIAL
19,227,ERITREA
20,230,ETIOPÍA
21,266,GABÁN
22,270,GAMBIA
23,288,GHANA
24,324,GUINEA
25,624,GUINEA- BISSAU
26,404,KENYA
27,426,LESOTHO
28,430,LIBERIA
29,434,LIBIA
30,450,MADAGASCAR
31,454,MALAWI
32,466,MALÍ
33,478,MAURITANIA
34,480,MAURICIO
35,504,MARRUECOS
36,508,MOZAMBIQUE
37,516,NAMIBIA
38,562,NÍGER
39,566,NIGERIA
40,646,RWANDA
41,678,SANTO  TOMÉ Y PRÍNCIPE
42,686,SENEGAL
43,690,SEYCHELLES
44,694,SIERRA  LEONA
45,706,SOMALIA
46,710,SUDÁRRICA
47,728,SUDÁN DEL SUR
48,729,SUDÁN
49,748,SWAZILANDIA
50,768,TOGA
51,788,TÚNEZ
52,800,UGANDA
53,762,REPÚBLICA UNIDA  DE TANZANIA
54,894,ZAMBIA
55,716,ZIMBABWE
56,909,AFRICA SIN ESPECIFICAR
57,912,AMÉRICA DEL NORTE (TOTAL)
58,060,BERMUDA
59,124,CANADÁ
60,840,ESTADOS UNIDOS DE AMÉRICA
61,913,AMÉRICA  DEL NORTE  SIN ESPECIFICAR
62,914,CARIBE  Y AMÉRICA  CENTRAL  (TOTAL)
63,260,ANGUILA
64,028,ANTIGUA Y BARBUDA
65,035,ARUBA
66,044,BAHAMAS
67,052,BARBADOS
68,058,BELICE
69,869,ISLAS VÍRGENES BRITÁNICAS
70,136,ISLAS CAIMÁN
71,188,COSTA RICA
72,192,CUBA
73,212,DOMINICA
74,214,REPÚBLICA DOMINICANA
75,222,EL SALVADOR
76,308,GRANADA
77,320,GUATEMALA
78,332,HAITÍ
79,340,HONDURAS
80,388,JAMAICA
81,484,MÉXICO
82,500,MONTSERRAT
83,532,ANTILLAS  NEERLANDESAS
84,558,NICARAGUA
85,590,PANAMÁ
86,656,SAINT KITTS Y NEVIS
87,662,SANTA LUCÍA
88,670,SAN VICENTE Y LAS GRANADINAS
89,780,TRINIDAD Y TOBAGO
90,796,ISLAS TURCAS Y CAICOS
91,916,CARIBE Y AMÉRICA CENTARL SIN ESPECIFICAR
92,919,AMÉRICA  DEL SUR (TOTAL)
93,032,ARGENTINA
94,068,BOLIVIA (ESTADO  PLURINACIONAL DE)
95,076,BRASIL
96,152,CHILE
97,170,COLOMBIA
98,218,ECUADOR
99,328,GUYANA
100,600,PARAGUAY
101,604,PERÚ
102,740,SURINAME
103,858,URUGUAY
104,862,VENEZUELA (REPÚBLICA BOLIVARIANA DE)
105,920,AMERICA  DEL SUR SIN ESPECIFICAR
106,930,ASIA (TOTAL)
107,004,AFGANISTÁN
108,034,ARMENIA
109,038,AZERBAIYÁN
110,048,BAHREIN
111,050,BANGLADESH
112,064,BHUTÁN
113,096,BRUNEI DARUSSALAM
114,406,CAMBOYA
115,156,CHINA
116,344,"CHINA, REGIÓN ADMINISTRATIVA ESPECIAL DE HONG KONG"
117,446,"CHINA, REGIÓN ADMINISTRATIVA ESPECIAL DE MACAO"
118,196,CHIPRE
119,409,REPÚBLICA POPULAR DEMOCRÁTICA DE COREA
120,272,GEORGIA
121,356,INDIA
122,360,INDONESIA
123,364,IRÁN (REPÚBLICA ISLÁMICA  DEL)
124,368,LRAQ
125,376,ISRAEL
126,392,JAPÓN
127,400,JORDANIA
128,402,KAZAJSTÁN
129,414,KUWAIT
130,416,KIRGUISTÁN
131,418,REPÚBLICA DEMOCRÁTICA POPULAR LAO
132,422,LÍBANO
133,458,MALASIA
134,462,MALDIVAS
135,496,MONGOLIA
136,104,MYANMAR
137,524,NEPAL
138,588,PALESTINA
139,580,OMÁN
140,586,PAKISTÁN
141,608,FILIPINAS
142,634,OATAR
143,407,REPÚBLICA DE COREA
144,682,ARABIA SAUDITA
145,702,SINGAPUR
146,734,SRI LANKA
147,760,REPÚBLICA ARABE SIRIA
148,761,TAYIKISTÁN
149,764,TAILANDIA
150,626,TIMAR-LESTE
151,792,TURQUÍA
152,794,TURKMENISTÁN
153,812,EMIRATOS ARABES UNIDOS
154,860,UZBEKISTÁN
155,868,VIETNAM
156,885,YEMEN
157,939,ASIA SIN ESPECIFICAR
158,940,EUROPA  (TOTAL)
159,008,ALBANIA
160,020,ANDORRA
161,040,AUSTRIA
162,805,BELARÚS
163,056,BÉLGICA
164,057,BOSNIA Y HERZEGOVINA
165,100,BULGARIA
166,102,CROACIA
